gender,discipline,result,score
Man,2 Miles,7:44.80,1361
Man,2 Miles Short Track,7:52.52,1361
Man,5000 Metres,12:20.05,1361
Man,5000 Metres Short Track,12:34.93,1361
Man,10000 Metres,25:38.37,1361
Man,3000 Metres,7:11.50,1360
Man,3000 Metres Short Track,7:15.74,1360
Man,2 Miles,7:44.96,1360
Man,2 Miles Short Track,7:52.68,1360
Man,5000 Metres,12:20.31,1360
Man,5000 Metres Short Track,12:35.18,1360
Man,10000 Metres,25:38.96,1360
Man,3000 Metres,7:11.65,1359
Man,3000 Metres Short Track,7:15.89,1359
Man,2 Miles,7:45.12,1359
Man,2 Miles Short Track,7:52.84,1359
Man,5000 Metres,12:20.57,1359
Man,5000 Metres Short Track,12:35.44,1359
Man,10000 Metres,25:39.56,1359
Man,3000 Metres,7:11.80,1358
Man,3000 Metres Short Track,7:16.04,1358
Man,2 Miles,7:45.28,1358
Man,2 Miles Short Track,7:53.00,1358
Man,5000 Metres,12:20.82,1358
Man,5000 Metres Short Track,12:35.69,1358
Man,10000 Metres,25:40.15,1358
Man,3000 Metres,7:11.95,1357
Man,3000 Metres Short Track,7:16.19,1357
Man,2 Miles,7:45.44,1357
Man,2 Miles Short Track,7:53.16,1357
Man,5000 Metres,12:21.08,1357
Man,5000 Metres Short Track,12:35.94,1357
Man,10000 Metres,25:40.74,1357
Man,3000 Metres,7:12.10,1356
Man,3000 Metres Short Track,7:16.33,1356
Man,2 Miles,7:45.61,1356
Man,2 Miles Short Track,7:53.32,1356
Man,5000 Metres,12:21.34,1356
Man,5000 Metres Short Track,12:36.19,1356
Man,10000 Metres,25:41.34,1356
Man,3000 Metres,7:12.25,1355
Man,3000 Metres Short Track,7:16.48,1355
Man,2 Miles,7:45.77,1355
Man,2 Miles Short Track,7:53.48,1355
Man,5000 Metres,12:21.60,1355
Man,5000 Metres Short Track,12:36.44,1355
Man,10000 Metres,25:41.93,1355
Man,3000 Metres,7:12.40,1354
Man,3000 Metres Short Track,7:16.63,1354
Man,2 Miles,7:45.93,1354
Man,2 Miles Short Track,7:53.64,1354
Man,5000 Metres,12:21.85,1354
Man,5000 Metres Short Track,12:36.70,1354
Man,10000 Metres,25:42.52,1354
Man,3000 Metres,7:12.55,1353
Man,3000 Metres Short Track,7:16.78,1353
Man,2 Miles,7:46.09,1353
Man,2 Miles Short Track,7:53.80,1353
Man,5000 Metres,12:22.11,1353
Man,5000 Metres Short Track,12:36.95,1353
Man,10000 Metres,25:43.12,1353
Man,3000 Metres,7:12.70,1352
Man,3000 Metres Short Track,7:16.93,1352
Man,2 Miles,7:46.25,1352
Man,2 Miles Short Track,7:53.96,1352
Man,5000 Metres,12:22.37,1352
Man,5000 Metres Short Track,12:37.20,1352
Man,10000 Metres,25:43.71,1352
Man,3000 Metres,7:12.85,1351
Man,3000 Metres Short Track,7:17.08,1351
Man,2 Miles,7:46.42,1351
